processor_transaction_id,card_id,customer_id,transaction_timestamp,transaction_type,merchant_name,amount,currency,merchant_category,auth_status
PTX927274,CARD010870,C007456,2024-05-01 00:05:20,PURCHASE,OpenAI,8070.541,USD,Online Services,APPROVED
PTX484770,CARD005691,C003925,2024-05-01 00:06:36,PURCHASE,MedLabs,446.631,JOD,Healthcare,APPROVED
PTX636882,CARD007512,C005169,2024-05-01 01:15:53,PURCHASE,Amman Rotana,5483.604,USD,Hotels,APPROVED
PTX484776,CARD005691,C003925,2024-05-01 01:16:50,PURCHASE,PlayStation Network,117.374,JOD,Entertainment,APPROVED
PTX233369,CARD002816,C001958,2024-05-01 01:21:18,PURCHASE,Leaders Center,644.060,JOD,Electronics,APPROVED
PTX233373,CARD002816,C001958,2024-05-01 05:17:31,PURCHASE,YouTube Premium,658.654,JOD,Subscriptions,APPROVED
PTX662071,CARD007822,C005370,2024-05-01 07:43:59,PURCHASE,Prime Cinemas,316.923,JOD,Entertainment,APPROVED
PTX1154428,CARD013440,C009245,2024-05-01 08:54:23,PURCHASE,University Bookshop,1106.749,JOD,Education,APPROVED
PTX682396,CARD008050,C005511,2024-05-01 09:07:23,PURCHASE,Marriott,1749.877,JOD,Hotels,APPROVED
PTX1028167,CARD012019,C008268,2024-05-01 09:14:54,PURCHASE,Safeway,555.321,JOD,Groceries,APPROVED
PTX897914,CARD010531,C007218,2024-05-01 09:43:28,PURCHASE,Umniah,720.199,JOD,Telecom,APPROVED
PTX1154425,CARD013440,C009245,2024-05-01 10:03:48,PURCHASE,YouTube Premium,974.140,JOD,Subscriptions,APPROVED
PTX897924,CARD010531,C007218,2024-05-01 12:02:00,PURCHASE,Booking.com,766.075,JOD,Travel,APPROVED
PTX443535,CARD005230,C003622,2024-05-01 12:14:21,PURCHASE,Booking.com,340.277,USD,Travel,APPROVED
PTX651707,CARD007698,C005293,2024-05-01 12:34:26,PURCHASE,Zain,884.103,JOD,Telecom,APPROVED
PTX689945,CARD008137,C005572,2024-05-01 13:24:37,PURCHASE,DNA,225.649,JOD,Retail,APPROVED
PTX1148150,CARD013366,C009194,2024-05-01 13:35:28,PURCHASE,Hypermax,851.093,USD,Groceries,APPROVED
PTX1148154,CARD013366,C009194,2024-05-01 14:12:59,PURCHASE,Shawerma Reem,1687.082,USD,Restaurants,APPROVED
PTX406873,CARD004783,C003308,2024-05-01 14:26:29,PURCHASE,Biolab,239.373,JOD,Healthcare,APPROVED
PTX436935,CARD005145,C003560,2024-05-01 15:58:46,PURCHASE,TotalEnergies,296.686,JOD,Fuel,APPROVED
PTX636879,CARD007512,C005169,2024-05-01 16:16:31,PURCHASE,Netflix,1870.938,USD,Entertainment,APPROVED
PTX1196941,CARD013882,C009542,2024-05-01 16:54:06,PURCHASE,Wizz Air,1562.952,JOD,Travel,APPROVED
PTX708650,CARD008399,C005752,2024-05-01 17:14:26,PURCHASE,Netflix,1512.840,EUR,Entertainment,APPROVED
PTX343306,CARD004003,C002781,2024-05-01 17:22:41,PURCHASE,H&M,558.287,JOD,Clothing,APPROVED
PTX296065,CARD003492,C002431,2024-05-01 17:27:15,PURCHASE,Shawerma Reem,2070.961,JOD,Restaurants,APPROVED
PTX708649,CARD008399,C005752,2024-05-01 17:28:13,PURCHASE,Wizz Air,1338.555,EUR,Travel,APPROVED
PTX406871,CARD004783,C003308,2024-05-01 20:00:43,PURCHASE,City Mall Store,12.070,JOD,Retail,APPROVED
PTX330554,CARD003823,C002655,2024-05-01 22:21:03,PURCHASE,Buffalo Wings,1450.257,JOD,Restaurants,APPROVED
PTX165491,CARD002094,C001455,2024-05-01 22:32:51,PURCHASE,Pharmacy One,201.839,JOD,Healthcare,APPROVED
PTX343305,CARD004003,C002781,2024-05-02 02:13:50,PURCHASE,iSystem,152.396,JOD,Electronics,APPROVED
PTX800683,CARD009417,C006446,2024-05-02 02:42:18,PURCHASE,SmartBuy,2722.681,JOD,Retail,APPROVED
PTX1175355,CARD013641,C009379,2024-05-02 02:49:36,PURCHASE,Microsoft 365,116.130,JOD,Subscriptions,APPROVED
PTX377129,CARD004391,C003051,2024-05-02 05:40:21,PURCHASE,PlayStation Network,8171.174,JOD,Entertainment,APPROVED
PTX436939,CARD005145,C003560,2024-05-02 06:49:38,PURCHASE,Umniah,160.620,JOD,Telecom,APPROVED
PTX396025,CARD004637,C003213,2024-05-02 07:01:54,PURCHASE,MedLabs,800.012,JOD,Healthcare,APPROVED
PTX488183,CARD005724,C003944,2024-05-02 07:47:19,PURCHASE,City Mall Store,174.193,JOD,Retail,APPROVED
PTX729907,CARD008622,C005907,2024-05-02 07:50:16,PURCHASE,Buffalo Wings,134.588,JOD,Restaurants,APPROVED
PTX510223,CARD006036,C004162,2024-05-02 07:57:27,PURCHASE,Orange,374.553,JOD,Telecom,APPROVED
PTX040261,CARD000541,C000378,2024-05-02 08:04:49,PURCHASE,SmartBuy,1123.185,JOD,Electronics,APPROVED
PTX894993,CARD010502,C007195,2024-05-02 08:13:31,PURCHASE,SmartBuy,247.033,JOD,Retail,APPROVED
PTX383503,CARD004464,C003103,2024-05-02 09:11:34,PURCHASE,Pharmacy One,555.743,JOD,Healthcare,APPROVED
PTX1154429,CARD013440,C009245,2024-05-02 09:38:21,PURCHASE,Booking.com,456.339,JOD,Travel,APPROVED
PTX166826,CARD002103,C001460,2024-05-02 10:06:18,PURCHASE,H&M,289.099,USD,Clothing,APPROVED
PTX396031,CARD004637,C003213,2024-05-02 10:55:12,CASH_ADVANCE,ATM Network,1557.071,JOD,,APPROVED
PTX800684,CARD009417,C006446,2024-05-02 11:31:24,PURCHASE,JoPetrol,3224.289,JOD,Fuel,APPROVED
PTX882951,CARD010391,C007121,2024-05-02 13:52:24,PURCHASE,Booking.com,859.932,USD,Travel,APPROVED
PTX233370,CARD002816,C001958,2024-05-02 14:03:51,PURCHASE,Orange,899.474,JOD,Telecom,APPROVED
PTX377130,CARD004391,C003051,2024-05-02 14:56:00,PURCHASE,PlayStation Network,7629.077,JOD,Entertainment,APPROVED
PTX198196,CARD002431,C001682,2024-05-02 15:25:27,PURCHASE,University Bookshop,160.946,JOD,Education,APPROVED
PTX631619,CARD007450,C005124,2024-05-02 15:53:40,PURCHASE,Pharmacy One,630.340,JOD,Healthcare,APPROVED
PTX1148152,CARD013366,C009194,2024-05-02 16:04:24,PURCHASE,Umniah,2927.952,USD,Telecom,APPROVED
PTX943639,CARD011059,C007593,2024-05-02 16:51:41,PURCHASE,Le Royal,82.196,JOD,Hotels,APPROVED
PTX390800,CARD004570,C003169,2024-05-02 17:52:04,PURCHASE,JoPetrol,375.112,JOD,Fuel,APPROVED
PTX166830,CARD002103,C001460,2024-05-02 19:54:13,PURCHASE,Biolab,1401.019,USD,Healthcare,APPROVED
PTX943634,CARD011059,C007593,2024-05-02 20:05:31,PURCHASE,Amazon Web Services,74.179,JOD,Online Services,APPROVED
PTX510226,CARD006036,C004162,2024-05-02 20:05:38,PURCHASE,Prime Cinemas,280.989,JOD,Entertainment,APPROVED
PTX369485,CARD004284,C002976,2024-05-02 21:54:21,PURCHASE,Zara,496.659,JOD,Clothing,APPROVED
PTX1120885,CARD013073,C008998,2024-05-02 22:40:18,PURCHASE,University Bookshop,208.203,JOD,Education,APPROVED
PTX532281,CARD006299,C004344,2024-05-02 22:48:24,PURCHASE,Orange,1223.553,JOD,Telecom,APPROVED
PTX1248568,CARD014542,C009992,2024-05-02 22:49:53,PURCHASE,SmartBuy,427.762,JOD,Electronics,APPROVED
PTX443532,CARD005230,C003622,2024-05-03 00:34:08,PURCHASE,Spotify,58.732,USD,Subscriptions,APPROVED
PTX1148149,CARD013366,C009194,2024-05-03 02:22:33,PURCHASE,Amman Rotana,2232.532,USD,Hotels,APPROVED
PTX580324,CARD006876,C004739,2024-05-03 02:26:28,PURCHASE,Le Royal,379.645,JOD,Hotels,APPROVED
PTX155516,CARD001995,C001392,2024-05-03 03:05:43,PURCHASE,Coursera,566.467,USD,Education,APPROVED
PTX557126,CARD006588,C004548,2024-05-03 03:11:40,PURCHASE,Udemy,65.055,JOD,Education,APPROVED
PTX631625,CARD007450,C005124,2024-05-03 04:49:01,PURCHASE,Booking.com,453.401,JOD,Travel,APPROVED
PTX368448,CARD004270,C002967,2024-05-03 06:29:49,PURCHASE,Amman Rotana,321.821,JOD,Hotels,APPROVED
PTX1175360,CARD013641,C009379,2024-05-03 06:43:08,PURCHASE,iSystem,384.838,JOD,Electronics,APPROVED
PTX927272,CARD010870,C007456,2024-05-03 08:13:17,PURCHASE,Pharmacy One,1941.137,USD,Healthcare,APPROVED
PTX1175362,CARD013641,C009379,2024-05-03 11:03:51,PURCHASE,OpenAI,505.290,JOD,Online Services,APPROVED
PTX054301,CARD000681,C000477,2024-05-03 11:35:16,PURCHASE,JoPetrol,5797.800,USD,Fuel,APPROVED
PTX067293,CARD000832,C000582,2024-05-03 11:46:56,PURCHASE,Manaseer,3181.452,JOD,Fuel,APPROVED
PTX580328,CARD006876,C004739,2024-05-03 11:55:01,PURCHASE,Le Royal,1679.437,JOD,Hotels,APPROVED
PTX390796,CARD004570,C003169,2024-05-03 18:43:36,PURCHASE,Amazon Web Services,657.085,JOD,Online Services,APPROVED
PTX785980,CARD009230,C006326,2024-05-03 19:00:50,PURCHASE,Wizz Air,101.106,EUR,Travel,APPROVED
PTX329256,CARD003815,C002650,2024-05-03 20:31:40,PURCHASE,Google Services,245.300,JOD,Online Services,APPROVED
PTX689943,CARD008137,C005572,2024-05-03 21:00:28,PURCHASE,MedLabs,508.084,JOD,Healthcare,APPROVED
PTX557125,CARD006588,C004548,2024-05-03 21:51:11,PURCHASE,Prime Cinemas,97.306,JOD,Entertainment,APPROVED
PTX406879,CARD004783,C003308,2024-05-03 22:00:55,CASH_ADVANCE,ATM Network,209.822,JOD,,APPROVED
PTX853749,CARD010043,C006876,2024-05-03 22:01:15,PURCHASE,Booking.com,142.928,JOD,Travel,APPROVED
PTX155513,CARD001995,C001392,2024-05-04 00:37:30,PURCHASE,TotalEnergies,599.945,USD,Fuel,APPROVED
PTX443531,CARD005230,C003622,2024-05-04 00:55:31,PURCHASE,Umniah,26.209,USD,Telecom,APPROVED
PTX1148157,CARD013366,C009194,2024-05-04 01:24:52,PURCHASE,Manaseer,1536.613,USD,Fuel,APPROVED
PTX580329,CARD006876,C004739,2024-05-04 01:43:36,PURCHASE,City Mall Store,1986.856,JOD,Retail,APPROVED
PTX155509,CARD001995,C001392,2024-05-04 02:03:34,PURCHASE,Coursera,432.654,USD,Education,APPROVED
PTX343957,CARD004011,C002786,2024-05-04 02:17:01,PURCHASE,University Bookshop,802.862,JOD,Education,APPROVED
PTX040254,CARD000541,C000378,2024-05-04 04:26:05,PURCHASE,Shawerma Reem,1004.066,JOD,Restaurants,APPROVED
PTX651712,CARD007698,C005293,2024-05-04 04:36:47,PURCHASE,DNA,2445.737,JOD,Retail,APPROVED
PTX972240,CARD011372,C007799,2024-05-04 06:54:04,PURCHASE,Wizz Air,3627.372,EUR,Travel,APPROVED
PTX067292,CARD000832,C000582,2024-05-04 07:34:47,PURCHASE,Manaseer,6146.508,JOD,Fuel,APPROVED
PTX1003893,CARD011720,C008048,2024-05-04 08:27:55,PURCHASE,Google Services,305.100,JOD,Online Services,APPROVED
PTX017175,CARD000228,C000158,2024-05-04 08:41:01,PURCHASE,Cozmo,1049.896,JOD,Groceries,APPROVED
PTX165490,CARD002094,C001455,2024-05-04 09:12:23,PURCHASE,Manaseer,108.452,JOD,Fuel,APPROVED
PTX754283,CARD008865,C006083,2024-05-04 09:51:47,PURCHASE,Microsoft 365,528.032,JOD,Subscriptions,APPROVED
PTX1216339,CARD014123,C009712,2024-05-04 10:33:08,PURCHASE,City Mall Store,83.202,JOD,Retail,APPROVED
PTX729905,CARD008622,C005907,2024-05-04 12:14:02,PURCHASE,Royal Jordanian,229.819,JOD,Travel,APPROVED
PTX927277,CARD010870,C007456,2024-05-04 12:55:20,PURCHASE,Amman Rotana,1238.657,USD,Hotels,APPROVED
PTX368451,CARD004270,C002967,2024-05-04 12:57:29,PURCHASE,H&M,116.344,JOD,Clothing,APPROVED
PTX1175357,CARD013641,C009379,2024-05-04 15:43:17,PURCHASE,Hypermax,454.372,JOD,Groceries,APPROVED
PTX651709,CARD007698,C005293,2024-05-04 17:10:43,PURCHASE,Hypermax,2105.821,JOD,Groceries,APPROVED
PTX166177,CARD002097,C001456,2024-05-04 19:38:25,PURCHASE,Biolab,6023.681,EUR,Healthcare,APPROVED
PTX343956,CARD004011,C002786,2024-05-04 19:40:54,PURCHASE,Zara,714.124,JOD,Clothing,APPROVED
PTX1009124,CARD011782,C008095,2024-05-04 21:32:46,PURCHASE,Wizz Air,398.608,USD,Travel,APPROVED
PTX685359,CARD008077,C005529,2024-05-04 21:55:57,PURCHASE,OpenAI,282.750,JOD,Online Services,APPROVED
PTX1019883,CARD011909,C008189,2024-05-05 00:45:19,PURCHASE,Safeway,91.811,JOD,Groceries,APPROVED
PTX894994,CARD010502,C007195,2024-05-05 01:23:14,PURCHASE,Amman Rotana,367.829,JOD,Hotels,APPROVED
PTX682393,CARD008050,C005511,2024-05-05 02:44:52,PURCHASE,Almonds Coffee House,553.397,JOD,Restaurants,APPROVED
PTX1019880,CARD011909,C008189,2024-05-05 04:38:44,PURCHASE,Biolab,564.017,JOD,Healthcare,APPROVED
PTX897916,CARD010531,C007218,2024-05-05 05:07:21,PURCHASE,Shawerma Reem,1239.012,JOD,Restaurants,APPROVED
PTX1175363,CARD013641,C009379,2024-05-05 06:04:33,PURCHASE,SmartBuy,859.705,JOD,Electronics,APPROVED
PTX1148151,CARD013366,C009194,2024-05-05 06:44:05,PURCHASE,H&M,873.548,USD,Clothing,APPROVED
PTX1154424,CARD013440,C009245,2024-05-05 08:52:38,PURCHASE,Cozmo,871.996,JOD,Groceries,APPROVED
PTX1248572,CARD014542,C009992,2024-05-05 09:35:41,PURCHASE,Spotify,235.155,JOD,Subscriptions,APPROVED
PTX1193271,CARD013861,C009528,2024-05-05 11:35:27,PURCHASE,Coursera,237.632,JOD,Education,APPROVED
PTX444756,CARD005245,C003631,2024-05-05 12:39:34,PURCHASE,Udemy,8935.573,JOD,Education,APPROVED
PTX682394,CARD008050,C005511,2024-05-05 14:15:29,PURCHASE,Almonds Coffee House,295.351,JOD,Restaurants,APPROVED
PTX972239,CARD011372,C007799,2024-05-05 16:04:36,PURCHASE,Coursera,2364.318,EUR,Education,APPROVED
PTX897920,CARD010531,C007218,2024-05-05 16:14:35,PURCHASE,Zain,1389.738,JOD,Telecom,APPROVED
PTX396021,CARD004637,C003213,2024-05-05 17:01:19,PURCHASE,Wizz Air,103.009,JOD,Travel,APPROVED
PTX580323,CARD006876,C004739,2024-05-05 17:18:49,PURCHASE,Amazon Web Services,2762.361,JOD,Online Services,APPROVED
PTX198933,CARD002439,C001687,2024-05-05 17:47:21,PURCHASE,Amazon Web Services,722.617,JOD,Online Services,APPROVED
PTX444760,CARD005245,C003631,2024-05-05 19:13:43,PURCHASE,MedLabs,550.385,JOD,Healthcare,APPROVED
PTX054297,CARD000681,C000477,2024-05-05 23:27:09,PURCHASE,Leaders Center,1551.452,USD,Electronics,APPROVED
