processor_transaction_id,card_id,customer_id,transaction_timestamp,transaction_type,merchant_name,amount,currency,merchant_category,auth_status
PTX729810,CARD008622,C005907,2023-07-01 15:26:43,PURCHASE,TotalEnergies,2043.866,JOD,Fuel,APPROVED
PTX449082,CARD005303,C003666,2023-07-01 16:51:42,PURCHASE,TotalEnergies,1062.294,JOD,Fuel,APPROVED
PTX166098,CARD002097,C001456,2023-07-01 17:00:46,PURCHASE,Marriott,5543.703,EUR,Hotels,APPROVED
PTX166092,CARD002097,C001456,2023-07-01 19:51:56,PURCHASE,Google Services,4706.391,EUR,Online Services,APPROVED
PTX1019789,CARD011909,C008189,2023-07-02 23:57:02,PURCHASE,DNA,88.671,JOD,Retail,APPROVED
PTX729812,CARD008622,C005907,2023-07-03 14:29:29,PURCHASE,Cozmo,3650.456,JOD,Groceries,APPROVED
PTX522887,CARD006177,C004261,2023-07-04 09:10:40,PURCHASE,YouTube Premium,539.867,JOD,Subscriptions,APPROVED
PTX522889,CARD006177,C004261,2023-07-04 12:14:45,PURCHASE,Biolab,318.431,JOD,Healthcare,APPROVED
PTX166093,CARD002097,C001456,2023-07-04 19:30:03,PURCHASE,YouTube Premium,1015.137,EUR,Subscriptions,APPROVED
PTX198848,CARD002439,C001687,2023-07-05 11:42:43,PURCHASE,Leaders Center,398.181,JOD,Electronics,APPROVED
PTX198841,CARD002439,C001687,2023-07-05 21:12:06,PURCHASE,Spotify,651.132,JOD,Subscriptions,APPROVED
PTX166095,CARD002097,C001456,2023-07-05 23:43:53,PURCHASE,Royal Jordanian,577.174,EUR,Travel,APPROVED
PTX997569,CARD011644,C007991,2023-07-06 04:49:37,PURCHASE,PlayStation Network,39.556,JOD,Entertainment,APPROVED
PTX522886,CARD006177,C004261,2023-07-07 07:26:31,PURCHASE,Google Services,55.173,JOD,Online Services,APPROVED
PTX166097,CARD002097,C001456,2023-07-07 13:45:06,PURCHASE,Udemy,6377.360,EUR,Education,APPROVED
PTX997570,CARD011644,C007991,2023-07-08 14:14:58,PURCHASE,Zain,219.002,JOD,Telecom,APPROVED
PTX166096,CARD002097,C001456,2023-07-08 19:50:38,PURCHASE,Hypermax,129.323,EUR,Groceries,APPROVED
PTX198843,CARD002439,C001687,2023-07-08 22:58:38,PURCHASE,SmartBuy,89.662,JOD,Electronics,APPROVED
PTX435666,CARD005130,C003547,2023-07-09 02:36:10,PURCHASE,OpenAI,30.339,JOD,Online Services,APPROVED
PTX435664,CARD005130,C003547,2023-07-09 04:43:52,PURCHASE,Pharmacy One,267.018,JOD,Healthcare,APPROVED
PTX198842,CARD002439,C001687,2023-07-09 13:28:39,PURCHASE,Microsoft 365,133.643,JOD,Subscriptions,APPROVED
